Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
jaNemVect1.2	GCA_932526225.2		Nematostella vectensis								Chromosome	2026-02-07	CAKOAW02	53
jaNemVect1.1	GCA_932526225.1	GCF_932526225.1	Nematostella vectensis								Chromosome	2022-03-23	CAKOAW01	47
jaNemVect1.1	GCF_932526225.1	GCA_932526225.1	Nematostella vectensis							NCBI Nematostella vectensis Annotation Release 101	Chromosome	2022-03-23	CAKOAW01	47
Amil_v2.1	GCA_013753865.1	GCF_013753865.1	Acropora millepora					JS-1			Chromosome	2020-07-29	JACAWQ01	854
Amil_v2.1	GCF_013753865.1	GCA_013753865.1	Acropora millepora					JS-1		NCBI Acropora millepora Annotation Release 101	Chromosome	2020-07-29	JACAWQ01	854
jaAcrHyac4.1	GCA_964291705.1		Acropora hyacinthus								Chromosome	2024-10-28	CAXYSZ01	153
jaAcrPala1.3	GCA_964030605.3	GCF_964030605.1	Acropora palmata								Chromosome	2025-04-18	CAXIPZ03	244
jaAcrPala1.3	GCF_964030605.1	GCA_964030605.3	Acropora palmata							GCF_964030605.1-RS_2025_06	Chromosome	2025-04-18	CAXIPZ03	244
jaGalFasc40.1	GCA_948470475.1		Galaxea fascicularis								Chromosome	2023-02-03	CAOKRL01	177
jaAcrCerv1.1	GCA_964034985.1		Acropora cervicornis								Chromosome	2024-04-28	CAXIUN01	159
KAUST_PDAE_v1.0	GCA_056822295.1		Platygyra daedalea				Arabian Gulf	JUB01	hermaphrodite		Chromosome	2026-04-21	JBSXYI01	24
jaMonCapi2.1	GCA_949126865.1		Montipora capitata								Chromosome	2023-04-08	CASBPP01	132
ASM3666990v1	GCA_036669905.1	GCF_036669905.1	Acropora muricata					sample 2			Chromosome	2024-02-22	JAJTNX01	481
ASM3666990v1	GCF_036669905.1	GCA_036669905.1	Acropora muricata					sample 2		GCF_036669905.1-RS_2024_08	Chromosome	2024-02-22	JAJTNX01	481
jaPorLute2.1	GCA_958299795.1	GCF_958299795.1	Porites lutea								Chromosome	2023-07-07	CATQJN01	106
jaPorLute2.1	GCF_958299795.1	GCA_958299795.1	Porites lutea							GCF_958299795.1-RS_2025_04	Chromosome	2023-07-07	CATQJN01	106
jaMetSeni4.1	GCA_949775045.1		Metridium senile								Chromosome	2023-04-08	CATKSA01	250
jaGorVent5.1	GCA_964194065.1		Gorgonia ventalina								Chromosome	2024-06-28	CAXMKZ01	128
ASM3666991v2	GCA_036669915.2	GCF_036669915.1	Pocillopora verrucosa					sample1			Chromosome	2024-02-22	JAJSRX01	52
ASM3666991v2	GCF_036669915.1	GCA_036669915.2	Pocillopora verrucosa					sample1		GCF_036669915.1-RS_2024_06	Chromosome	2024-02-22	JAJSRX01	52
jaPorLoba17.1	GCA_973946955.1		Porites lobata								Chromosome	2025-10-26	CDAHJG01	368
jaPalCari2.1	GCA_965234985.1		Palythoa caribaeorum								Chromosome	2025-04-06	CBDDWK01	1327
jaOrbFran1.1	GCA_964199315.1	GCF_964199315.1	Orbicella franksi								Chromosome	2024-07-13	CAXMYY01	804
jaOrbFran1.1	GCF_964199315.1	GCA_964199315.1	Orbicella franksi							GCF_964199315.1-RS_2026_03	Chromosome	2024-07-13	CAXMYY01	804
jaAneSulc1.1	GCA_965177965.1		Anemonia sulcata								Chromosome	2025-02-28	CBCXTP01	40
jaEunVerr7.2	GCA_964289765.3		Eunicella verrucosa								Chromosome	2025-07-07	CAXYMP03	194
jaEunCavo1.2	GCA_965177985.2		Eunicella cavolini								Chromosome	2025-10-14	CBCXTR02	45
jaLepSarm1.1	GCA_964658295.1		Leptogorgia sarmentosa								Chromosome	2025-01-02	CBAAAV01	292
jaAntXant3.1	GCA_964019055.1		Anthopleura xanthogrammica								Chromosome	2024-03-24	CAXHSA01	133
Corallium_rubrum_jaCorRubr1.2	GCA_964265095.1		Corallium rubrum								Chromosome	2024-09-25	CAXWAO01	309
ASM4168250v1	GCA_041682505.1		Cavernularia obesa					SEN-2024			Chromosome	2024-09-03	JBDJPM01	479
crgOcupat	GCA_052425735.1	GCF_052425735.1	Oculina patagonica					OP01		Annotation submitted by Centre for Genomic Regulation	Chromosome	2025-09-03	JBPAPT01	1951
crgOcupat	GCF_052425735.1	GCA_052425735.1	Oculina patagonica					OP01		GCF_052425735.1-RS_2025_12	Chromosome	2025-09-03	JBPAPT01	1951
TubCoc3	GCA_977035595.1		Tubastraea coccinea								Chromosome	2025-11-28	CDRQIW01	621
ASM5449177v1	GCA_054491775.1		Paracondylactis sinensis					TZ2025-01			Chromosome	2026-01-14	JBTNHV01	166
jaMeaMean2.1	GCA_963693305.1		Meandrina meandrites								Chromosome	2023-12-07	CAVNZF01	56
jaSidSide1.1	GCA_964030785.1		Siderastrea siderea								Chromosome	2024-04-20	CAXIQD01	449
jaPorCyli1.1	GCA_964035525.1		Porites cylindrica								Chromosome	2024-04-29	CAXIUU01	108
jaSidRadi1.1	GCA_964017195.1		Siderastrea radians								Chromosome	2024-03-23	CAXHKT01	538
jaMurMuri3.1	GCA_963855995.1		Muricea muricata								Chromosome	2023-12-15	CAWLCR01	93
jaRicFlor1.1	GCA_949710005.1		Ricordea florida								Chromosome	2023-03-28	CATIXD01	54
jaDiaLine6.1	GCA_918843875.1		Diadumene lineata								Chromosome	2021-11-18	CAKKNV01	137
jaPocGran1.hap1.2	GCA_964027065.2		Pocillopora grandis								Chromosome	2024-06-03	CAXIEY02	299
jaConGiga1.1	GCA_964258915.1		Condylactis gigantea								Chromosome	2024-09-05	CAXVHT01	63
jaMadAure2.1	GCA_964059495.1		Madracis auretenra								Chromosome	2024-06-05	CAXKXD01	389
